Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,07.06.2025 12:15:00,6563402,469,1
13836498,07.06.2025 12:30:00,6563456,469,1
13836498,07.06.2025 12:45:00,6563512,469,1
13836498,07.06.2025 13:00:00,6563568,469,1
13836498,07.06.2025 13:15:00,6563631,469,1
13836498,07.06.2025 13:30:00,6563692,469,1
13836498,07.06.2025 13:45:00,6563752,469,1
13836498,07.06.2025 14:00:00,6563809,469,1
13836498,07.06.2025 14:15:00,6563867,469,1
13836498,07.06.2025 14:30:00,6563929,469,1
13836498,07.06.2025 14:45:00,6563989,469,1
13836498,07.06.2025 15:00:00,6564049,469,1
13836498,07.06.2025 15:15:00,6564107,469,1
13836498,07.06.2025 15:30:00,6564168,469,1
13836498,07.06.2025 15:45:00,6564228,469,1
13836498,07.06.2025 16:00:00,6564291,469,1
13836498,07.06.2025 16:15:00,6564345,469,1
13836498,07.06.2025 16:30:00,6564403,469,1
13836498,07.06.2025 16:45:00,6564459,469,1
13836498,07.06.2025 17:00:00,6564517,469,1
13836498,07.06.2025 17:15:00,6564578,469,1
13836498,07.06.2025 17:30:00,6564642,469,1
13836498,07.06.2025 17:45:00,6564704,469,1
13836498,07.06.2025 18:00:00,6564764,469,1
14101611,07.06.2025 12:45:00,4889183,456,1
14101611,07.06.2025 13:00:00,4889312,456,1
14101611,07.06.2025 13:15:00,4889437,456,1
14101611,07.06.2025 13:30:00,4889548,456,1
14101611,07.06.2025 13:45:00,4889677,456,1
14101611,07.06.2025 14:00:00,4889815,456,1
14101611,07.06.2025 14:15:00,4889931,456,1
14101611,07.06.2025 14:30:00,4890052,456,1
14101611,07.06.2025 14:45:00,4890172,456,1
14101611,07.06.2025 15:00:00,4890286,456,1
14101611,07.06.2025 15:15:00,4890404,456,1
14101611,07.06.2025 15:30:00,4890532,456,1
14101611,07.06.2025 15:45:00,4890660,456,1
14101611,07.06.2025 16:00:00,4890802,456,1
14101611,07.06.2025 16:15:00,4890941,456,1
14101611,07.06.2025 16:30:00,4891094,456,1
14101611,07.06.2025 16:45:00,4891243,456,1
14101611,07.06.2025 17:00:00,4891387,456,1
14101611,07.06.2025 17:15:00,4891534,456,1
14101611,07.06.2025 17:30:00,4891681,456,1
14101611,07.06.2025 17:45:00,4891822,456,1
14101611,07.06.2025 18:00:00,4891965,456,1
14101611,07.06.2025 18:15:00,4892102,456,1
14101611,07.06.2025 18:30:00,4892236,456,1
14460572,07.06.2025 12:15:00,2440224,899,1
14460572,07.06.2025 12:30:00,2440263,899,1
14460572,07.06.2025 12:45:00,2440300,899,1
14460572,07.06.2025 13:00:00,2440335,899,1
14460572,07.06.2025 13:15:00,2440348,899,1
14460572,07.06.2025 13:30:00,2440359,899,1
14460572,07.06.2025 13:45:00,2440372,899,1
14460572,07.06.2025 14:00:00,2440411,899,1
14460572,07.06.2025 14:15:00,2440447,899,1
14460572,07.06.2025 14:30:00,2440480,899,1
14460572,07.06.2025 14:45:00,2440494,899,1
14460572,07.06.2025 15:00:00,2440506,899,1
14460572,07.06.2025 15:15:00,2440520,899,1
14460572,07.06.2025 15:30:00,2440558,899,1
14460572,07.06.2025 15:45:00,2440596,899,1
14460572,07.06.2025 16:00:00,2440628,899,1
14460572,07.06.2025 16:15:00,2440642,899,1
14460572,07.06.2025 16:30:00,2440653,899,1
14460572,07.06.2025 16:45:00,2440669,899,1
14460572,07.06.2025 17:00:00,2440707,899,1
14460572,07.06.2025 17:15:00,2440744,899,1
14460572,07.06.2025 17:30:00,2440775,899,1
14460572,07.06.2025 17:45:00,2440789,899,1
14460572,07.06.2025 18:00:00,2440799,899,1
14101619,07.06.2025 12:45:00,6554619,10558,1
14101619,07.06.2025 13:00:00,6554640,10560,1
14101619,07.06.2025 13:15:00,6554669,10561,1
14101619,07.06.2025 13:30:00,6554683,10567,1
14101619,07.06.2025 13:45:00,6554696,10569,1
14101619,07.06.2025 14:00:00,6554733,10570,1
14101619,07.06.2025 14:15:00,6554763,10572,1
14101619,07.06.2025 14:30:00,6554796,10574,1
14101619,07.06.2025 14:45:00,6554844,10575,1
14101619,07.06.2025 15:00:00,6554900,10575,1
14101619,07.06.2025 15:15:00,6554947,10576,1
14101619,07.06.2025 15:30:00,6555005,10577,1
14101619,07.06.2025 15:45:00,6555048,10579,1
14101619,07.06.2025 16:00:00,6555097,10579,1
14101619,07.06.2025 16:15:00,6555166,10579,1
14101619,07.06.2025 16:30:00,6555233,10579,1
14101619,07.06.2025 16:45:00,6555277,10579,1
14101619,07.06.2025 17:00:00,6555337,10579,1
14101619,07.06.2025 17:15:00,6555409,10579,1
14101619,07.06.2025 17:30:00,6555476,10579,1
14101619,07.06.2025 17:45:00,6555558,10579,1
14101619,07.06.2025 18:00:00,6555651,10579,1
14101619,07.06.2025 18:15:00,6555737,10579,1
14101619,07.06.2025 18:30:00,6555841,10579,1
14461007,05.06.2025 00:00:00,2225780,864,1
14461007,06.06.2025 00:00:00,2230159,864,1
14461007,07.06.2025 00:00:00,2232605,864,1
14461141,06.06.2025 00:00:00,3123377,1100,1
14461141,07.06.2025 00:00:00,3129674,1100,1
14462652,05.06.2025 00:00:00,1597051,864,1
14462652,06.06.2025 00:00:00,1600825,864,1
14462652,07.06.2025 00:00:00,1604255,864,1
14101530,07.06.2025 12:45:00,9903624,456,1
14101530,07.06.2025 13:00:00,9903842,456,1
14101530,07.06.2025 13:15:00,9904045,456,1
14101530,07.06.2025 13:30:00,9904237,456,1
14101530,07.06.2025 13:45:00,9904423,456,1
14101530,07.06.2025 14:00:00,9904626,456,1
14101530,07.06.2025 14:15:00,9904820,456,1
14101530,07.06.2025 14:30:00,9905038,456,1
14101530,07.06.2025 14:45:00,9905241,456,1
