Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,05.06.2025 18:15:00,6549589,469,1
13836498,05.06.2025 18:30:00,6549665,469,1
13836498,05.06.2025 18:45:00,6549743,469,1
13836498,05.06.2025 19:00:00,6549815,469,1
13836498,05.06.2025 19:15:00,6549884,469,1
13836498,05.06.2025 19:30:00,6549945,469,1
13836498,05.06.2025 19:45:00,6550006,469,1
13836498,05.06.2025 20:00:00,6550066,469,1
13836498,05.06.2025 20:15:00,6550125,469,1
13836498,05.06.2025 20:30:00,6550178,469,1
13836498,05.06.2025 20:45:00,6550232,469,1
13836498,05.06.2025 21:00:00,6550283,469,1
13836498,05.06.2025 21:15:00,6550335,469,1
13836498,05.06.2025 21:30:00,6550388,469,1
13836498,05.06.2025 21:45:00,6550440,469,1
13836498,05.06.2025 22:00:00,6550492,469,1
13836498,05.06.2025 22:15:00,6550542,469,1
13836498,05.06.2025 22:30:00,6550593,469,1
13836498,05.06.2025 22:45:00,6550644,469,1
13836498,05.06.2025 23:00:00,6550692,469,1
13836498,05.06.2025 23:15:00,6550744,469,1
13836498,05.06.2025 23:30:00,6550794,469,1
13836498,05.06.2025 23:45:00,6550846,469,1
13836498,06.06.2025 00:00:00,6550897,469,1
14101611,05.06.2025 18:30:00,4873671,456,1
14101611,05.06.2025 18:45:00,4873790,456,1
14101611,05.06.2025 19:00:00,4873911,456,1
14101611,05.06.2025 19:15:00,4874034,456,1
14101611,05.06.2025 19:30:00,4874157,456,1
14101611,05.06.2025 19:45:00,4874285,456,1
14101611,05.06.2025 20:00:00,4874442,456,1
14101611,05.06.2025 20:15:00,4874577,456,1
14101611,05.06.2025 20:30:00,4874719,456,1
14101611,05.06.2025 20:45:00,4874861,456,1
14101611,05.06.2025 21:00:00,4875003,456,1
14101611,05.06.2025 21:15:00,4875128,456,1
14101611,05.06.2025 21:30:00,4875258,456,1
14101611,05.06.2025 21:45:00,4875401,456,1
14101611,05.06.2025 22:00:00,4875549,456,1
14101611,05.06.2025 22:15:00,4875687,456,1
14101611,05.06.2025 22:30:00,4875814,456,1
14101611,05.06.2025 22:45:00,4875948,456,1
14101611,05.06.2025 23:00:00,4876075,456,1
14101611,05.06.2025 23:15:00,4876187,456,1
14101611,05.06.2025 23:30:00,4876295,456,1
14101611,05.06.2025 23:45:00,4876393,456,1
14101611,06.06.2025 00:00:00,4876481,456,1
14101611,06.06.2025 00:15:00,4876564,456,1
14101611,06.06.2025 00:30:00,4876644,456,1
14381554,05.06.2025 00:00:00,20714153,2733,1
14460572,05.06.2025 18:15:00,2428210,899,1
14460572,05.06.2025 18:30:00,2428251,899,1
14460572,05.06.2025 18:45:00,2428292,899,1
14460572,05.06.2025 19:00:00,2428331,899,1
14460572,05.06.2025 19:15:00,2428370,899,1
14460572,05.06.2025 19:30:00,2428403,899,1
14460572,05.06.2025 19:45:00,2428433,899,1
14460572,05.06.2025 20:00:00,2428463,899,1
14460572,05.06.2025 20:15:00,2428491,899,1
14460572,05.06.2025 20:30:00,2428536,899,1
14460572,05.06.2025 20:45:00,2428701,899,1
14460572,05.06.2025 21:00:00,2428762,899,1
14460572,05.06.2025 21:15:00,2428828,899,1
14460572,05.06.2025 21:30:00,2428909,899,1
14460572,05.06.2025 21:45:00,2429079,899,1
14460572,05.06.2025 22:00:00,2429145,899,1
14460572,05.06.2025 22:15:00,2429212,899,1
14460572,05.06.2025 22:30:00,2429450,899,1
14460572,05.06.2025 22:45:00,2429828,899,1
