Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,02.06.2025 06:15:00,6520411,469,1
13836498,02.06.2025 06:30:00,6520479,469,1
13836498,02.06.2025 06:45:00,6520547,469,1
13836498,02.06.2025 07:00:00,6520614,469,1
13836498,02.06.2025 07:15:00,6520682,469,1
13836498,02.06.2025 07:30:00,6520759,469,1
13836498,02.06.2025 07:45:00,6520835,469,1
13836498,02.06.2025 08:00:00,6520921,469,1
13836498,02.06.2025 08:15:00,6521025,469,1
13836498,02.06.2025 08:30:00,6521129,469,1
13836498,02.06.2025 08:45:00,6521237,469,1
13836498,02.06.2025 09:00:00,6521342,469,1
13836498,02.06.2025 09:15:00,6521451,469,1
13836498,02.06.2025 09:30:00,6521565,469,1
13836498,02.06.2025 09:45:00,6521678,469,1
13836498,02.06.2025 10:00:00,6521791,469,1
13836498,02.06.2025 10:15:00,6521926,469,1
13836498,02.06.2025 10:30:00,6522067,469,1
13836498,02.06.2025 10:45:00,6522189,469,1
13836498,02.06.2025 11:00:00,6522307,469,1
13836498,02.06.2025 11:15:00,6522417,469,1
13836498,02.06.2025 11:30:00,6522525,469,1
13836498,02.06.2025 11:45:00,6522635,469,1
13836498,02.06.2025 12:00:00,6522754,469,1
14101611,02.06.2025 06:30:00,4844004,456,1
14101611,02.06.2025 06:45:00,4844096,456,1
14101611,02.06.2025 07:00:00,4844187,456,1
14101611,02.06.2025 07:15:00,4844279,456,1
14101611,02.06.2025 07:30:00,4844389,456,1
14101611,02.06.2025 07:45:00,4844506,456,1
14101611,02.06.2025 08:00:00,4844617,456,1
14101611,02.06.2025 08:15:00,4844715,456,1
14101611,02.06.2025 08:30:00,4844791,456,1
14101611,02.06.2025 08:45:00,4844870,456,1
14101611,02.06.2025 09:00:00,4844951,456,1
14101611,02.06.2025 09:15:00,4845034,456,1
14101611,02.06.2025 09:30:00,4845114,456,1
14101611,02.06.2025 09:45:00,4845190,456,1
14101611,02.06.2025 10:00:00,4845266,456,1
14101611,02.06.2025 10:15:00,4845343,456,1
14101611,02.06.2025 10:30:00,4845421,456,1
14101611,02.06.2025 10:45:00,4845506,456,1
14101611,02.06.2025 11:00:00,4845596,456,1
14101611,02.06.2025 11:15:00,4845688,456,1
14101611,02.06.2025 11:30:00,4845787,456,1
14101611,02.06.2025 11:45:00,4845885,456,1
14101611,02.06.2025 12:00:00,4845983,456,1
14101611,02.06.2025 12:15:00,4846072,456,1
14101611,02.06.2025 12:30:00,4846165,456,1
14101619,02.06.2025 06:30:00,6511012,10182,1
14101619,02.06.2025 06:45:00,6511104,10182,1
14101619,02.06.2025 07:00:00,6511196,10182,1
14101619,02.06.2025 07:15:00,6511287,10182,1
14101619,02.06.2025 07:30:00,6511360,10182,1
14101619,02.06.2025 07:45:00,6511444,10182,1
14101619,02.06.2025 08:00:00,6511549,10182,1
14101619,02.06.2025 08:15:00,6511641,10182,1
14101619,02.06.2025 08:30:00,6511741,10182,1
14101619,02.06.2025 08:45:00,6511816,10182,1
14101619,02.06.2025 09:00:00,6511888,10182,1
14101619,02.06.2025 09:15:00,6511967,10182,1
14101619,02.06.2025 09:30:00,6512032,10182,1
14101619,02.06.2025 09:45:00,6512085,10182,1
14101619,02.06.2025 10:00:00,6512144,10182,1
14101619,02.06.2025 10:15:00,6512188,10182,1
14101619,02.06.2025 10:30:00,6512238,10182,1
14101619,02.06.2025 10:45:00,6512272,10182,1
14101619,02.06.2025 11:00:00,6512298,10184,1
14101619,02.06.2025 11:15:00,6512328,10187,1
14101619,02.06.2025 11:30:00,6512352,10191,1
14101619,02.06.2025 11:45:00,6512386,10194,1
14101619,02.06.2025 12:00:00,6512423,10198,1
14101619,02.06.2025 12:15:00,6512443,10203,1
14101619,02.06.2025 12:30:00,6512468,10207,1
14460500,02.06.2025 00:00:00,17254,864,1
