Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,01.06.2025 18:15:00,6518192,469,1
13836498,01.06.2025 18:30:00,6518238,469,1
13836498,01.06.2025 18:45:00,6518285,469,1
13836498,01.06.2025 19:00:00,6518329,469,1
13836498,01.06.2025 19:15:00,6518375,469,1
13836498,01.06.2025 19:30:00,6518418,469,1
13836498,01.06.2025 19:45:00,6518461,469,1
13836498,01.06.2025 20:00:00,6518504,469,1
13836498,01.06.2025 20:15:00,6518547,469,1
13836498,01.06.2025 20:30:00,6518590,469,1
13836498,01.06.2025 20:45:00,6518635,469,1
13836498,01.06.2025 21:00:00,6518677,469,1
13836498,01.06.2025 21:15:00,6518722,469,1
13836498,01.06.2025 21:30:00,6518767,469,1
13836498,01.06.2025 21:45:00,6518813,469,1
13836498,01.06.2025 22:00:00,6518857,469,1
13836498,01.06.2025 22:15:00,6518903,469,1
13836498,01.06.2025 22:30:00,6518952,469,1
13836498,01.06.2025 22:45:00,6518998,469,1
13836498,01.06.2025 23:00:00,6519045,469,1
13836498,01.06.2025 23:15:00,6519090,469,1
13836498,01.06.2025 23:30:00,6519138,469,1
13836498,01.06.2025 23:45:00,6519184,469,1
13836498,02.06.2025 00:00:00,6519230,469,1
14101611,01.06.2025 18:45:00,4840006,456,1
14101611,01.06.2025 19:15:00,4840086,456,1
14101611,01.06.2025 19:30:00,4840193,456,1
14101611,01.06.2025 19:45:00,4840296,456,1
14101611,01.06.2025 20:00:00,4840414,456,1
14101611,01.06.2025 20:15:00,4840533,456,1
14101611,01.06.2025 20:30:00,4840645,456,1
14101611,01.06.2025 20:45:00,4840763,456,1
14101611,01.06.2025 21:00:00,4840893,456,1
14101611,01.06.2025 21:15:00,4841015,456,1
14101611,01.06.2025 21:30:00,4841140,456,1
14101611,01.06.2025 21:45:00,4841257,456,1
14101611,01.06.2025 22:00:00,4841380,456,1
14101611,01.06.2025 22:15:00,4841503,456,1
14101611,01.06.2025 22:30:00,4841632,456,1
14101611,01.06.2025 22:45:00,4841756,456,1
14101611,01.06.2025 23:00:00,4841872,456,1
14101611,01.06.2025 23:15:00,4841981,456,1
14101611,01.06.2025 23:30:00,4842087,456,1
14101611,01.06.2025 23:45:00,4842185,456,1
14101611,02.06.2025 00:00:00,4842270,456,1
14101611,02.06.2025 00:15:00,4842357,456,1
14460572,01.06.2025 18:15:00,2408682,899,1
14460572,01.06.2025 18:30:00,2408889,899,1
14460572,01.06.2025 19:30:00,2409146,899,1
14460572,01.06.2025 19:45:00,2409195,899,1
14460572,01.06.2025 20:00:00,2409287,899,1
14460572,01.06.2025 20:15:00,2409374,899,1
14460572,01.06.2025 20:30:00,2409456,899,1
14460572,01.06.2025 20:45:00,2409552,899,1
14460572,01.06.2025 21:00:00,2409647,899,1
14460572,01.06.2025 21:15:00,2409748,899,1
14460572,01.06.2025 21:30:00,2409841,899,1
14460572,01.06.2025 21:45:00,2409920,899,1
14460572,01.06.2025 22:00:00,2410001,899,1
14460572,01.06.2025 22:15:00,2410085,899,1
14460572,01.06.2025 22:30:00,2410188,899,1
14460572,01.06.2025 22:45:00,2410294,899,1
14460572,01.06.2025 23:00:00,2410389,899,1
14460572,01.06.2025 23:15:00,2410463,899,1
14460572,01.06.2025 23:30:00,2410523,899,1
14460572,01.06.2025 23:45:00,2410582,899,1
14460572,02.06.2025 00:00:00,2410642,899,1
14460603,09.05.2025 00:00:00,86978,899,1
14460603,10.05.2025 00:00:00,87161,899,1
14460603,11.05.2025 00:00:00,87178,899,1
14460603,12.05.2025 00:00:00,87190,899,1
14460603,13.05.2025 00:00:00,87207,899,1
14460603,14.05.2025 00:00:00,87234,899,1
14460603,15.05.2025 00:00:00,87270,899,1
14101619,01.06.2025 18:30:00,6505391,10182,1
14101619,01.06.2025 18:45:00,6505484,10182,1
14101619,01.06.2025 19:00:00,6505584,10182,1
14101619,01.06.2025 19:15:00,6505678,10182,1
14101619,01.06.2025 19:30:00,6505796,10182,1
14101619,01.06.2025 19:45:00,6505924,10182,1
14101619,01.06.2025 20:00:00,6506044,10182,1
14101619,01.06.2025 20:15:00,6506162,10182,1
14101619,01.06.2025 20:30:00,6506284,10182,1
14101619,01.06.2025 20:45:00,6506423,10182,1
14101619,01.06.2025 21:00:00,6506571,10182,1
14101619,01.06.2025 21:15:00,6506741,10182,1
14101619,01.06.2025 21:30:00,6506915,10182,1
14101619,01.06.2025 21:45:00,6507083,10182,1
14101619,01.06.2025 22:00:00,6507250,10182,1
14101619,01.06.2025 22:15:00,6507427,10182,1
14101619,01.06.2025 22:30:00,6507583,10182,1
14101619,01.06.2025 22:45:00,6507730,10182,1
14101619,01.06.2025 23:00:00,6507864,10182,1
14101619,01.06.2025 23:15:00,6508000,10182,1
14101619,01.06.2025 23:30:00,6508145,10182,1
14101619,01.06.2025 23:45:00,6508294,10182,1
14101619,02.06.2025 00:00:00,6508427,10182,1
14101619,02.06.2025 00:15:00,6508554,10182,1
14460353,01.06.2025 00:00:00,262164,856,1
14460688,01.06.2025 00:00:00,2259,865,1
14461007,30.05.2025 00:00:00,2205601,864,1
14461007,31.05.2025 00:00:00,2208222,864,1
14461007,01.06.2025 00:00:00,2211609,864,1
14461007,02.06.2025 00:00:00,2214251,864,1
14461041,01.06.2025 00:00:00,1417688,865,1
14461114,01.06.2025 00:00:00,1831912,1102,1
14461114,02.06.2025 00:00:00,1834926,1102,1
14461184,01.06.2025 00:00:00,1106427,1114,1
14461184,02.06.2025 00:00:00,1108664,1114,1
14461259,01.06.2025 00:00:00,1214936,864,1
14461260,01.06.2025 00:00:00,29699,857,1
14461260,02.06.2025 00:00:00,29720,857,1
14461615,02.06.2025 00:00:00,2017170,864,1
14461621,02.06.2025 00:00:00,2180080,1117,1
14461622,02.06.2025 00:00:00,1470917,1116,1
14461652,01.06.2025 00:00:00,1632103,1117,1
14461652,02.06.2025 00:00:00,1635421,1117,1
14461680,24.05.2025 00:00:00,1329781,1116,1
14461680,25.05.2025 00:00:00,1329781,1116,1
14461680,26.05.2025 00:00:00,1329781,1116,1
14461680,27.05.2025 00:00:00,1329781,1116,1
14461680,28.05.2025 00:00:00,1329781,1116,1
14461680,29.05.2025 00:00:00,1329781,1116,1
14461680,30.05.2025 00:00:00,1329781,1116,1
14461680,31.05.2025 00:00:00,1329781,1116,1
14461680,01.06.2025 00:00:00,1329781,1116,1
14461680,02.06.2025 00:00:00,1329781,1116,1
14462001,01.06.2025 00:00:00,1343724,897,1
14101530,01.06.2025 18:45:00,9797069,456,1
14101530,01.06.2025 19:00:00,9797232,456,1
14101530,01.06.2025 19:15:00,9797391,456,1
14101530,01.06.2025 19:30:00,9797534,456,1
14101530,01.06.2025 19:45:00,9797674,456,1
14101530,01.06.2025 20:00:00,9797824,456,1
14101530,01.06.2025 20:15:00,9797972,456,1
14101530,01.06.2025 20:30:00,9798109,456,1
14101530,01.06.2025 20:45:00,9798258,456,1
14101530,01.06.2025 21:00:00,9798399,456,1
14101530,01.06.2025 21:15:00,9798552,456,1
14101530,01.06.2025 21:30:00,9798781,456,1
14101530,01.06.2025 21:45:00,9799042,456,1
14101530,01.06.2025 22:00:00,9799300,456,1
14101530,01.06.2025 22:15:00,9799555,456,1
14101530,01.06.2025 22:30:00,9799814,456,1
14101530,01.06.2025 22:45:00,9800062,456,1
14101530,01.06.2025 23:00:00,9800291,456,1
14101530,01.06.2025 23:15:00,9800511,456,1
14101530,01.06.2025 23:30:00,9800742,456,1
14101530,01.06.2025 23:45:00,9800947,456,1
14101530,02.06.2025 00:00:00,9801159,456,1
14101530,02.06.2025 00:15:00,9801369,456,1
14463007,01.06.2025 00:15:00,2018352,900,1
14463007,01.06.2025 00:30:00,2018395,900,1
14463007,01.06.2025 00:45:00,2018433,900,1
14463007,01.06.2025 01:00:00,2018461,900,1
14463007,01.06.2025 01:15:00,2018479,900,1
14463007,01.06.2025 01:30:00,2018508,900,1
14463007,01.06.2025 01:45:00,2018516,900,1
14463007,01.06.2025 02:00:00,2018552,900,1
14463007,01.06.2025 02:15:00,2018555,900,1
14463007,01.06.2025 02:30:00,2018587,900,1
14463007,01.06.2025 02:45:00,2018598,900,1
14463007,01.06.2025 03:00:00,2018619,900,1
14463007,01.06.2025 03:15:00,2018640,900,1
14463007,01.06.2025 03:30:00,2018651,900,1
14463007,01.06.2025 03:45:00,2018680,900,1
14463007,01.06.2025 04:00:00,2018684,900,1
14463007,01.06.2025 04:15:00,2018718,900,1
14463007,01.06.2025 04:30:00,2018831,900,1
14463007,01.06.2025 04:45:00,2018855,900,1
14463007,01.06.2025 05:00:00,2018872,900,1
14463007,01.06.2025 05:15:00,2018888,900,1
14463007,01.06.2025 05:30:00,2018914,900,1
14463007,01.06.2025 05:45:00,2018920,900,1
14463007,01.06.2025 06:00:00,2018954,900,1
14462836,02.06.2025 00:00:00,598911,1115,1
