Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,06.06.2025 18:15:00,6559766,469,1
13836498,06.06.2025 18:30:00,6559834,469,1
13836498,06.06.2025 18:45:00,6559902,469,1
13836498,06.06.2025 19:00:00,6559964,469,1
13836498,06.06.2025 19:15:00,6560021,469,1
13836498,06.06.2025 19:30:00,6560077,469,1
13836498,06.06.2025 19:45:00,6560131,469,1
13836498,06.06.2025 20:00:00,6560186,469,1
13836498,06.06.2025 20:15:00,6560238,469,1
13836498,06.06.2025 20:30:00,6560290,469,1
13836498,06.06.2025 20:45:00,6560341,469,1
13836498,06.06.2025 21:00:00,6560393,469,1
13836498,06.06.2025 21:15:00,6560442,469,1
13836498,06.06.2025 21:30:00,6560493,469,1
13836498,06.06.2025 21:45:00,6560542,469,1
13836498,06.06.2025 22:00:00,6560590,469,1
13836498,06.06.2025 22:15:00,6560638,469,1
13836498,06.06.2025 22:30:00,6560684,469,1
13836498,06.06.2025 22:45:00,6560732,469,1
13836498,06.06.2025 23:00:00,6560778,469,1
13836498,06.06.2025 23:15:00,6560823,469,1
13836498,06.06.2025 23:30:00,6560870,469,1
13836498,06.06.2025 23:45:00,6560916,469,1
13836498,07.06.2025 00:00:00,6560962,469,1
14101611,06.06.2025 18:30:00,4882500,456,1
14101611,06.06.2025 18:45:00,4882628,456,1
14101611,06.06.2025 19:00:00,4882749,456,1
14101611,06.06.2025 19:15:00,4882871,456,1
14101611,06.06.2025 19:30:00,4882989,456,1
14101611,06.06.2025 19:45:00,4883108,456,1
14101611,06.06.2025 20:00:00,4883226,456,1
14101611,06.06.2025 20:15:00,4883351,456,1
14101611,06.06.2025 20:30:00,4883480,456,1
14101611,06.06.2025 20:45:00,4883611,456,1
14101611,06.06.2025 21:00:00,4883754,456,1
14101611,06.06.2025 21:15:00,4883897,456,1
14101611,06.06.2025 21:30:00,4884036,456,1
14101611,06.06.2025 21:45:00,4884185,456,1
14101611,06.06.2025 22:00:00,4884332,456,1
14101611,06.06.2025 22:15:00,4884474,456,1
14101611,06.06.2025 22:30:00,4884605,456,1
14101611,06.06.2025 22:45:00,4884727,456,1
14101611,06.06.2025 23:00:00,4884854,456,1
14101611,06.06.2025 23:15:00,4884962,456,1
14101611,06.06.2025 23:30:00,4885064,456,1
14101611,06.06.2025 23:45:00,4885153,456,1
14101611,07.06.2025 00:00:00,4885231,456,1
14101611,07.06.2025 00:15:00,4885306,456,1
14101611,07.06.2025 00:30:00,4885385,456,1
14460311,07.06.2025 00:00:00,1386488,900,1
14101619,06.06.2025 18:30:00,6547325,10551,1
14101619,06.06.2025 18:45:00,6547446,10551,1
14101619,06.06.2025 19:00:00,6547571,10551,1
14101619,06.06.2025 19:15:00,6547714,10551,1
14101619,06.06.2025 19:30:00,6547863,10551,1
14101619,06.06.2025 19:45:00,6548021,10551,1
14101619,06.06.2025 20:00:00,6548177,10551,1
14101619,06.06.2025 20:15:00,6548331,10551,1
14101619,06.06.2025 20:30:00,6548483,10551,1
14101619,06.06.2025 20:45:00,6548633,10551,1
