Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,01.06.2025 12:15:00,6517117,469,1
13836498,01.06.2025 12:30:00,6517160,469,1
13836498,01.06.2025 12:45:00,6517205,469,1
13836498,01.06.2025 13:00:00,6517249,469,1
13836498,01.06.2025 13:15:00,6517296,469,1
13836498,01.06.2025 13:30:00,6517340,469,1
13836498,01.06.2025 13:45:00,6517384,469,1
13836498,01.06.2025 14:00:00,6517427,469,1
13836498,01.06.2025 14:15:00,6517472,469,1
13836498,01.06.2025 14:30:00,6517517,469,1
13836498,01.06.2025 14:45:00,6517561,469,1
13836498,01.06.2025 15:00:00,6517604,469,1
13836498,01.06.2025 15:15:00,6517646,469,1
13836498,01.06.2025 15:30:00,6517691,469,1
13836498,01.06.2025 15:45:00,6517736,469,1
13836498,01.06.2025 16:00:00,6517783,469,1
13836498,01.06.2025 16:15:00,6517826,469,1
13836498,01.06.2025 16:30:00,6517871,469,1
13836498,01.06.2025 16:45:00,6517917,469,1
13836498,01.06.2025 17:00:00,6517963,469,1
13836498,01.06.2025 17:15:00,6518008,469,1
13836498,01.06.2025 17:30:00,6518056,469,1
13836498,01.06.2025 17:45:00,6518100,469,1
13836498,01.06.2025 18:00:00,6518145,469,1
14101611,01.06.2025 12:45:00,4837833,456,1
14101611,01.06.2025 13:00:00,4837923,456,1
14101611,01.06.2025 13:15:00,4837995,456,1
14101611,01.06.2025 13:30:00,4838073,456,1
14101611,01.06.2025 13:45:00,4838156,456,1
14101611,01.06.2025 14:00:00,4838240,456,1
14101611,01.06.2025 14:15:00,4838333,456,1
14101611,01.06.2025 14:30:00,4838426,456,1
14101611,01.06.2025 14:45:00,4838516,456,1
14101611,01.06.2025 15:00:00,4838601,456,1
14101611,01.06.2025 15:15:00,4838682,456,1
14101611,01.06.2025 15:30:00,4838770,456,1
14101611,01.06.2025 15:45:00,4838859,456,1
14101611,01.06.2025 16:00:00,4838954,456,1
14101611,01.06.2025 16:15:00,4839048,456,1
14101611,01.06.2025 16:30:00,4839139,456,1
14101611,01.06.2025 16:45:00,4839221,456,1
14101611,01.06.2025 17:00:00,4839315,456,1
14101611,01.06.2025 17:15:00,4839414,456,1
14101611,01.06.2025 17:30:00,4839520,456,1
14101611,01.06.2025 17:45:00,4839629,456,1
14101611,01.06.2025 18:00:00,4839727,456,1
14101611,01.06.2025 18:15:00,4839826,456,1
14101611,01.06.2025 18:30:00,4839931,456,1
14381554,29.05.2025 00:00:00,20389764,2733,1
14381554,30.05.2025 00:00:00,20433391,2733,1
14381554,31.05.2025 00:00:00,20476572,2733,1
14381554,01.06.2025 00:00:00,20520742,2733,1
14460572,01.06.2025 12:15:00,2406196,899,1
14460572,01.06.2025 12:30:00,2406285,899,1
14460572,01.06.2025 12:45:00,2406369,899,1
14460572,01.06.2025 13:00:00,2406818,899,1
14460572,01.06.2025 13:15:00,2406915,899,1
14460572,01.06.2025 13:30:00,2406988,899,1
14460572,01.06.2025 13:45:00,2407070,899,1
14460572,01.06.2025 14:00:00,2407152,899,1
14460572,01.06.2025 14:15:00,2407233,899,1
14460572,01.06.2025 14:30:00,2407343,899,1
14460572,01.06.2025 14:45:00,2407453,899,1
14460572,01.06.2025 15:00:00,2407561,899,1
14460572,01.06.2025 15:15:00,2407682,899,1
14460572,01.06.2025 15:30:00,2407750,899,1
14460572,01.06.2025 15:45:00,2407814,899,1
14460572,01.06.2025 16:00:00,2407877,899,1
14460572,01.06.2025 16:15:00,2407920,899,1
14460572,01.06.2025 16:30:00,2407988,899,1
14460572,01.06.2025 16:45:00,2408084,899,1
14460572,01.06.2025 17:00:00,2408186,899,1
14460572,01.06.2025 17:15:00,2408283,899,1
14460572,01.06.2025 17:30:00,2408378,899,1
14460572,01.06.2025 17:45:00,2408456,899,1
14460572,01.06.2025 18:00:00,2408539,899,1
14101619,01.06.2025 12:45:00,6504294,10108,1
14101619,01.06.2025 13:00:00,6504324,10112,1
14101619,01.06.2025 13:15:00,6504346,10115,1
14101619,01.06.2025 13:30:00,6504359,10126,1
14101619,01.06.2025 13:45:00,6504385,10135,1
14101619,01.06.2025 14:00:00,6504396,10147,1
14101619,01.06.2025 14:15:00,6504418,10161,1
14101619,01.06.2025 14:30:00,6504465,10163,1
14101619,01.06.2025 14:45:00,6504492,10173,1
14101619,01.06.2025 15:00:00,6504568,10173,1
14101619,01.06.2025 15:15:00,6504645,10173,1
14101619,01.06.2025 15:30:00,6504669,10180,1
14101619,01.06.2025 15:45:00,6504729,10180,1
14101619,01.06.2025 16:00:00,6504784,10182,1
14101619,01.06.2025 16:15:00,6504851,10182,1
14101619,01.06.2025 16:30:00,6504903,10182,1
14101619,01.06.2025 16:45:00,6504942,10182,1
14101619,01.06.2025 17:00:00,6504989,10182,1
14101619,01.06.2025 17:15:00,6505038,10182,1
14101619,01.06.2025 17:30:00,6505098,10182,1
14101619,01.06.2025 17:45:00,6505145,10182,1
14101619,01.06.2025 18:00:00,6505219,10182,1
14101619,01.06.2025 18:15:00,6505297,10182,1
14101530,01.06.2025 12:45:00,9793489,456,1
14101530,01.06.2025 13:00:00,9793656,456,1
14101530,01.06.2025 13:15:00,9793808,456,1
14101530,01.06.2025 13:30:00,9793957,456,1
