Meter,Clock (8:0-0:1.0.0*255:2),Active Energy Import (3:1-0:1.8.0*255:2),Active Energy Export (3:1-0:2.8.0*255:2),TransFullCoef
13836498,02.06.2025 00:15:00,6519279,469,1
13836498,02.06.2025 00:30:00,6519327,469,1
13836498,02.06.2025 00:45:00,6519375,469,1
13836498,02.06.2025 01:00:00,6519421,469,1
13836498,02.06.2025 01:15:00,6519469,469,1
13836498,02.06.2025 01:30:00,6519513,469,1
13836498,02.06.2025 01:45:00,6519560,469,1
13836498,02.06.2025 02:00:00,6519606,469,1
13836498,02.06.2025 02:15:00,6519651,469,1
13836498,02.06.2025 02:30:00,6519699,469,1
13836498,02.06.2025 02:45:00,6519744,469,1
13836498,02.06.2025 03:00:00,6519791,469,1
13836498,02.06.2025 03:15:00,6519838,469,1
13836498,02.06.2025 03:30:00,6519884,469,1
13836498,02.06.2025 03:45:00,6519931,469,1
13836498,02.06.2025 04:00:00,6519976,469,1
13836498,02.06.2025 04:15:00,6520022,469,1
13836498,02.06.2025 04:30:00,6520068,469,1
13836498,02.06.2025 04:45:00,6520112,469,1
13836498,02.06.2025 05:00:00,6520158,469,1
13836498,02.06.2025 05:15:00,6520205,469,1
13836498,02.06.2025 05:30:00,6520251,469,1
13836498,02.06.2025 05:45:00,6520304,469,1
13836498,02.06.2025 06:00:00,6520356,469,1
14101611,02.06.2025 00:30:00,4842441,456,1
14101611,02.06.2025 00:45:00,4842524,456,1
14101611,02.06.2025 01:00:00,4842601,456,1
14101611,02.06.2025 01:15:00,4842667,456,1
14101611,02.06.2025 01:30:00,4842732,456,1
14101611,02.06.2025 01:45:00,4842792,456,1
14101611,02.06.2025 02:00:00,4842855,456,1
14101611,02.06.2025 02:15:00,4842916,456,1
14101611,02.06.2025 02:30:00,4842977,456,1
14101611,02.06.2025 02:45:00,4843035,456,1
14101611,02.06.2025 03:00:00,4843097,456,1
14101611,02.06.2025 03:15:00,4843156,456,1
14101611,02.06.2025 03:30:00,4843213,456,1
14101611,02.06.2025 03:45:00,4843268,456,1
14101611,02.06.2025 04:00:00,4843327,456,1
14101611,02.06.2025 04:15:00,4843388,456,1
14101611,02.06.2025 04:30:00,4843444,456,1
14101611,02.06.2025 04:45:00,4843499,456,1
14101611,02.06.2025 05:00:00,4843559,456,1
14101611,02.06.2025 05:15:00,4843618,456,1
14101611,02.06.2025 05:30:00,4843678,456,1
14101611,02.06.2025 05:45:00,4843751,456,1
14101611,02.06.2025 06:00:00,4843824,456,1
14101611,02.06.2025 06:15:00,4843909,456,1
14101619,02.06.2025 00:30:00,6508672,10182,1
14101619,02.06.2025 00:45:00,6508790,10182,1
14101619,02.06.2025 01:00:00,6508908,10182,1
14101619,02.06.2025 01:15:00,6509015,10182,1
14101619,02.06.2025 01:30:00,6509110,10182,1
14101619,02.06.2025 01:45:00,6509206,10182,1
14101619,02.06.2025 02:00:00,6509294,10182,1
14101619,02.06.2025 02:15:00,6509385,10182,1
14101619,02.06.2025 02:30:00,6509473,10182,1
14101619,02.06.2025 02:45:00,6509555,10182,1
14101619,02.06.2025 03:00:00,6509654,10182,1
14101619,02.06.2025 03:15:00,6509752,10182,1
14101619,02.06.2025 03:30:00,6509852,10182,1
14101619,02.06.2025 03:45:00,6509946,10182,1
14101619,02.06.2025 04:00:00,6510037,10182,1
14101619,02.06.2025 04:15:00,6510128,10182,1
14101619,02.06.2025 04:30:00,6510230,10182,1
14101619,02.06.2025 04:45:00,6510330,10182,1
14101619,02.06.2025 05:00:00,6510427,10182,1
14101619,02.06.2025 05:15:00,6510526,10182,1
14101619,02.06.2025 05:30:00,6510625,10182,1
14101619,02.06.2025 05:45:00,6510725,10182,1
14101619,02.06.2025 06:00:00,6510821,10182,1
14101619,02.06.2025 06:15:00,6510915,10182,1
14460308,02.06.2025 00:00:00,1778619,857,1
14461004,02.06.2025 00:00:00,2508674,902,1
14461589,30.05.2025 00:00:00,1653644,1114,1
14461589,31.05.2025 00:00:00,1655182,1114,1
14461589,01.06.2025 00:00:00,1658051,1114,1
14461589,02.06.2025 00:00:00,1661252,1114,1
14462824,02.06.2025 00:00:00,122043,863,1
14101530,02.06.2025 00:30:00,9801556,456,1
14101530,02.06.2025 00:45:00,9801747,456,1
14101530,02.06.2025 01:00:00,9801935,456,1
14101530,02.06.2025 01:15:00,9802121,456,1
14101530,02.06.2025 01:30:00,9802301,456,1
14101530,02.06.2025 01:45:00,9802480,456,1
14101530,02.06.2025 02:00:00,9802666,456,1
14101530,02.06.2025 02:15:00,9802848,456,1
14101530,02.06.2025 02:30:00,9803025,456,1
14101530,02.06.2025 02:45:00,9803208,456,1
14101530,02.06.2025 03:00:00,9803390,456,1
14101530,02.06.2025 03:15:00,9803569,456,1
14101530,02.06.2025 03:30:00,9803746,456,1
14101530,02.06.2025 03:45:00,9803928,456,1
14101530,02.06.2025 04:00:00,9804109,456,1
14101530,02.06.2025 04:15:00,9804286,456,1
14101530,02.06.2025 04:30:00,9804468,456,1
14101530,02.06.2025 04:45:00,9804639,456,1
14101530,02.06.2025 05:00:00,9804737,456,1
14101530,02.06.2025 05:15:00,9804836,456,1
14101530,02.06.2025 05:30:00,9804931,456,1
14101530,02.06.2025 05:45:00,9805024,456,1
14101530,02.06.2025 06:00:00,9805122,456,1
14101530,02.06.2025 06:15:00,9805233,456,1
14381633,31.05.2025 00:00:00,39733,5535,1
14381633,01.06.2025 00:00:00,39733,5535,1
14381704,01.06.2025 16:15:00,36851379,2994,1
14381704,01.06.2025 16:30:00,36851510,2994,1
14381704,01.06.2025 16:45:00,36851617,2994,1
14381704,01.06.2025 17:00:00,36851744,2994,1
14381704,01.06.2025 17:15:00,36851921,2994,1
14381704,01.06.2025 17:30:00,36852074,2994,1
14381704,01.06.2025 17:45:00,36852217,2994,1
14381704,01.06.2025 18:00:00,36852379,2994,1
14381704,01.06.2025 18:15:00,36852546,2994,1
14381704,01.06.2025 18:30:00,36852686,2994,1
14381704,01.06.2025 18:45:00,36852813,2994,1
14381704,01.06.2025 19:00:00,36852967,2994,1
14381704,01.06.2025 19:15:00,36853109,2994,1
14381704,01.06.2025 19:30:00,36853291,2994,1
14381704,01.06.2025 19:45:00,36853424,2994,1
14381704,01.06.2025 20:00:00,36853581,2994,1
14381704,01.06.2025 20:15:00,36853717,2994,1
14381704,01.06.2025 20:30:00,36853855,2994,1
14381704,01.06.2025 20:45:00,36854014,2994,1
14381704,01.06.2025 21:00:00,36854183,2994,1
14381704,01.06.2025 21:15:00,36854337,2994,1
14381704,01.06.2025 21:30:00,36854627,2994,1
14381704,01.06.2025 21:45:00,36854961,2994,1
14381704,01.06.2025 22:00:00,36855253,2994,1
14381704,01.06.2025 22:15:00,36855620,2994,1
14381704,01.06.2025 22:30:00,36855816,2994,1
14381704,01.06.2025 22:45:00,36856029,2994,1
14381704,01.06.2025 23:00:00,36856233,2994,1
14381704,01.06.2025 23:15:00,36856416,2994,1
14381704,01.06.2025 23:30:00,36856586,2994,1
14381704,01.06.2025 23:45:00,36856774,2994,1
14381704,02.06.2025 00:00:00,36856964,2994,1
